step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,0_stopped,0_accumulated_waiting_time,0_average_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,10_stopped,10_accumulated_waiting_time,10_average_speed,11_stopped,11_accumulated_waiting_time,11_average_speed,12_stopped,12_accumulated_waiting_time,12_average_speed,13_stopped,13_accumulated_waiting_time,13_average_speed,14_stopped,14_accumulated_waiting_time,14_average_speed,15_stopped,15_accumulated_waiting_time,15_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,3_stopped,3_accumulated_waiting_time,3_average_speed,4_stopped,4_accumulated_waiting_time,4_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,7_stopped,7_accumulated_waiting_time,7_average_speed,8_stopped,8_accumulated_waiting_time,8_average_speed,9_stopped,9_accumulated_waiting_time,9_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
105.0,24,149.0,0.680365296803653,8.200703829748132,3,13.0,0.5389484013917956,0,5.0,0.7485163537907468,0,38.0,0.6108139721954747,1,9.0,0.4490100873913639,1,14.0,0.4058402894212721,0,4.0,0.4800213824934123,1,9.0,0.6551523516692527,0,13.0,0.7195820351131297,1,11.0,0.7320968215161573,1,12.0,0.5201331381072326,0,7.0,0.3547997284859358,0,11.0,0.20309363451768556,5,23.0,0.5304341011593848,2,12.0,0.18682804025707572,2,24.0,0.725159616913974,7,92.0,0.610341207790821,24,297.0
110.0,25,101.0,0.463302752293578,8.414431316877645,3,17.0,0.4714268082471563,0,4.0,0.8862467382576653,0,4.0,0.8680000239350661,1,10.0,0.7851869744410092,1,10.0,0.6521707017921161,0,8.0,0.7379090170414,1,7.0,0.3789005474409261,0,0.0,0.9544098066047321,3,10.0,0.5960354875480154,1,9.0,0.7753415716862182,3,17.0,0.5354640027868707,4,24.0,0.703703252266634,1,19.0,0.502612617196848,2,15.0,0.613484217816146,1,4.0,0.49627871701580367,4,89.0,0.3460760400142647,25,247.0
115.0,32,149.0,0.6742081447963801,8.454338396114967,5,34.0,0.5536482386254231,0,0.0,0.6888870697661019,0,0.0,0.5687852733694528,1,15.0,0.8264799286447175,0,4.0,0.7691910021743786,0,6.0,0.8407673577117512,7,27.0,0.20612870269711106,1,2.0,0.4231753304886813,3,25.0,0.4349319702594291,0,4.0,0.9089583028309779,0,10.0,0.7431836187134444,0,20.0,0.81928008052317,6,20.0,0.46438060478874116,2,24.0,0.775124924147287,3,14.0,0.46946681942637747,4,50.0,0.2000788336871961,32,255.0
120.0,41,133.0,0.5859030837004405,7.445752507091052,2,32.0,0.4955926542035124,3,12.0,0.48657157659923417,2,12.0,0.3135930794188094,1,4.0,0.5263969575214753,3,16.0,0.6921072138398302,1,8.0,0.5972150247248379,7,48.0,0.3996017896780589,5,21.0,0.2640440510936279,0,16.0,0.6347345243794548,0,0.0,0.7556544112314847,3,13.0,0.66589414213138,1,6.0,0.4913342574868266,3,31.0,0.21513251875391928,0,6.0,0.7115501470761948,5,38.0,0.4812357826001625,5,50.0,0.3167009906556272,41,313.0
125.0,48,203.0,0.8638297872340426,7.887455352176995,2,8.0,0.6357447910076408,0,10.0,0.6974791010404826,0,8.0,0.8705820887647642,5,18.0,0.24216929413485375,5,31.0,0.5347309689012981,6,26.0,0.2730928513763468,1,34.0,0.5250296525777813,0,21.0,0.735987684570548,0,0.0,0.7954624071542061,1,2.0,0.4461636868592736,5,31.0,0.44484279496797363,6,29.0,0.12005303278649822,5,35.0,0.47043409213240783,4,14.0,0.32217235376192926,1,36.0,0.6218993487310518,7,58.0,0.4771423721813832,48,361.0
130.0,45,263.0,1.073469387755102,8.138166197682231,3,19.0,0.6607112722295017,0,4.0,0.8523670362463582,0,8.0,0.8960751290357963,1,26.0,0.4197399036391498,6,61.0,0.3551651742124437,7,65.0,0.09290986990152302,5,22.0,0.046416285514124266,0,6.0,0.8661244762927265,0,0.0,0.6588425752747181,5,23.0,0.5156901456358379,3,31.0,0.3355963543859369,7,66.0,0.40209018822788284,0,29.0,0.6843913225275504,2,20.0,0.5252833240514125,1,8.0,0.6859971422634847,5,65.0,0.346190593137338,45,453.0
135.0,41,292.0,1.2066115702479339,7.498979651857408,1,11.0,0.5448884503877589,1,1.0,0.6223234268139357,1,6.0,0.363224076124265,2,19.0,0.7103713316089189,9,100.0,0.24268256743698333,7,100.0,0.40725427354506427,3,31.0,0.29493863954107535,0,4.0,0.5610801075346248,2,7.0,0.5803266294643686,1,22.0,0.6912016648815839,3,23.0,0.40253248395054375,1,61.0,0.6370590652851991,2,11.0,0.3289868106367276,2,18.0,0.7660193318269967,2,6.0,0.3282056757684137,4,56.0,0.3907201822939047,41,476.0
140.0,34,166.0,0.6887966804979253,7.448563543542194,3,12.0,0.6411745037766425,2,9.0,0.5685259393238982,6,31.0,0.094938364734081,1,8.0,0.7401585667037184,4,91.0,0.45971146892874715,1,86.0,0.6278521226443059,0,12.0,0.7308115495140743,0,5.0,0.11822056046676224,0,3.0,0.7304990324165431,2,9.0,0.6600033797791341,3,18.0,0.5720895685580131,0,18.0,0.5869426069296558,1,16.0,0.5043219423746386,0,6.0,0.6325415648157434,4,29.0,0.3430673344071734,7,62.0,0.23725192675892737,34,415.0
145.0,43,243.0,0.9798387096774194,8.156445560204183,1,6.0,0.6585930149044467,1,6.0,0.4801723355528593,1,34.0,0.5096950241681955,1,11.0,0.45738943964233775,0,30.0,0.6959280581945992,2,13.0,0.6206805408202393,1,11.0,0.6096777674695228,4,18.0,0.47770819415152416,0,0.0,0.851863164414803,0,2.0,0.5874623173715428,5,34.0,0.603788823344597,6,25.0,0.22927243942132017,0,9.0,0.8644049365556633,4,19.0,0.21090425569198096,6,58.0,0.4581269763172639,11,109.0,0.0001558930605043892,43,385.0
150.0,38,244.0,0.9959183673469387,7.853181910953784,2,10.0,0.6167755530209905,2,15.0,0.7587592324901463,0,9.0,0.8610138063679245,0,8.0,0.7700656074342718,2,7.0,0.4720832721983669,2,19.0,0.5931909846519309,5,25.0,0.4321393929355914,4,26.0,0.4688966200475909,0,0.0,0.5839309360688826,2,8.0,0.5502058487133822,1,29.0,0.4203588910207095,2,37.0,0.4682877206087687,2,12.0,0.7585847305516928,1,23.0,0.6115657972043121,2,51.0,0.4928980113701824,11,168.0,0.08067204957297656,38,447.0
